Age,Workclass,fnlwgt,Education_num,Marital_status,Occupation,Relationship,Race,Gender,Capital_gain,Capital_loss,Hours_per_week,Native_country,Income
1.3,7,0.077516,13,4,1,1,4,1,0.2174,0,1,39,0
1.666666667,6,0.083311,13,2,4,0,4,1,0,0,0.325,39,0
1.266666667,4,0.215646,9,0,6,1,4,1,0,0,1,39,0
1.766666667,4,0.234721,7,2,6,0,2,1,0,0,1,39,0
0.933333333,4,0.338409,13,2,10,5,2,0,0,0,1,5,0
1.233333333,4,0.284582,14,2,4,5,4,0,0,0,1,39,0
1.633333333,4,0.160187,5,3,8,1,2,0,0,0,0.4,23,0
1.733333333,6,0.209642,9,2,4,0,4,1,0,0,1.125,39,1
1.033333333,4,0.045781,14,4,10,1,4,0,1.4084,0,1.25,39,1
1.4,4,0.159449,13,2,4,0,4,1,0.5178,0,1,39,1
1.233333333,4,0.280464,10,2,4,0,2,1,0,0,2,39,1
1,7,0.141297,13,2,10,0,1,1,0,0,1,19,1
0.766666667,4,0.122272,13,4,1,3,4,0,0,0,0.75,39,0
1.066666667,4,0.205019,12,4,12,1,2,1,0,0,1.25,39,0
1.333333333,4,0.121772,11,2,3,0,1,1,0,0,1,0,1
1.133333333,4,0.245487,4,2,14,0,0,1,0,0,1.125,26,0
0.833333333,6,0.176756,9,4,5,3,4,1,0,0,0.875,39,0
1.066666667,4,0.186824,9,4,7,4,4,1,0,0,1,39,0
1.266666667,4,0.028887,7,2,12,0,4,1,0,0,1.25,39,0
1.433333333,6,0.292175,14,0,4,4,4,0,0,0,1.125,39,1
1.333333333,4,0.193524,16,2,10,0,4,1,0,0,1.5,39,1
1.8,4,0.302146,9,5,8,4,2,0,0,0,0.5,39,0
1.166666667,1,0.076845,5,2,5,0,2,1,0,0,1,39,0
1.433333333,4,0.117037,7,2,14,0,4,1,0,0.2042,1,39,0
1.966666667,4,0.109015,9,0,13,4,4,0,0,0,1,39,0
1.866666667,2,0.216851,13,2,13,0,4,1,0,0,1,39,1
0.633333333,4,0.168294,9,4,3,3,4,1,0,0,1,39,0
1.8,0,0.180211,10,2,0,0,1,1,0,0,1.5,35,1
1.3,4,0.36726,9,0,4,1,4,1,0,0,2,39,0
1.633333333,4,0.193366,9,2,3,0,4,1,0,0,1,39,0
0.766666667,2,0.190709,12,4,11,1,4,1,0,0,1.3,39,0
0.666666667,4,0.266015,10,4,12,3,2,1,0,0,1.1,39,0
1.5,4,0.38694,13,0,4,3,4,1,0,0.1408,1,39,0
1,1,0.059951,10,2,1,3,4,1,0,0,1,39,0
0.733333333,7,0.311512,10,2,8,0,2,1,0,0,0.375,39,0
1.6,4,0.242406,7,4,7,4,4,1,0,0,1,33,0
0.7,4,0.1972,10,4,7,3,4,1,0,0,1,39,0
0.633333333,4,0.544091,9,1,1,5,4,0,0,0,0.625,39,0
1.033333333,4,0.084154,10,2,12,0,4,1,0,0,0.95,0,1
1.6,6,0.265477,12,2,10,0,4,1,0,0,1,39,0
1.033333333,4,0.507875,5,2,7,0,4,1,0,0,1.075,39,0
1.766666667,6,0.088506,13,2,10,0,4,1,0,0,1,39,0
0.8,4,0.172987,13,2,13,0,4,1,0,0,1.25,39,0
1.633333333,4,0.094638,9,5,1,4,4,0,0,0,1,39,0
0.833333333,4,0.28998,9,4,6,1,4,1,0,0,0.875,39,0
1.9,1,0.337895,13,2,10,0,2,1,0,0,1,39,1
1.766666667,4,0.144361,9,2,7,0,4,1,0,0,0.95,39,0
1.466666667,4,0.128354,14,0,4,4,4,0,0,0,1,39,0
1.366666667,7,0.101603,11,2,3,0,4,1,0,0,1,39,0
0.966666667,4,0.271466,11,4,10,1,4,1,0,0,1.075,39,0
0.833333333,4,0.032275,10,2,4,5,3,0,0,0,1,39,0
0.6,4,0.226956,9,4,8,3,4,0,0,0,0.75,0,0
1.566666667,4,0.051835,15,2,10,5,4,0,0,0.1902,1.5,16,1
1.666666667,1,0.251585,13,0,4,1,4,1,0,0,1.375,39,1
1.566666667,5,0.109832,9,0,4,1,4,1,0,0,1.5,39,0
1.433333333,4,0.237993,10,2,13,0,4,1,0,0,1,39,1
1.533333333,4,0.216666,3,2,7,0,4,1,0,0,1,26,0
1.166666667,4,0.056352,11,2,8,0,4,1,0,0,1,33,0
1.366666667,4,0.147372,9,2,1,0,4,1,0,0,1.2,39,0
1,4,0.188146,9,2,7,0,4,1,0.5013,0,1,39,0
1,4,0.059496,13,2,12,0,4,1,0.2407,0,1,39,0
1.066666667,0,0.293936,4,3,0,1,4,1,0,0,1,0,0
1.6,4,0.14964,9,2,14,0,4,1,0,0,1,39,0
1.4,4,0.116632,16,2,10,0,4,1,0,0,1.125,39,1
0.966666667,4,0.105598,10,0,13,1,4,1,0,0,1.45,39,0
1.2,4,0.155537,9,2,3,0,4,1,0,0,1,39,0
0.933333333,4,0.183175,10,0,1,1,4,0,0,0,1,39,0
1.766666667,4,0.169846,9,2,1,5,4,0,0,0,1,39,1
1.633333333,5,0.191681,10,2,4,0,4,1,0,0,1.25,39,1
0.833333333,0,0.200681,10,4,0,3,4,1,0,0,1,39,0
0.633333333,4,0.101509,10,4,10,3,4,1,0,0,0.8,39,0
1.033333333,4,0.309974,13,5,12,3,2,0,0,0,1,39,0
0.966666667,6,0.162298,13,2,12,0,4,1,0,0,1.75,39,1
0.766666667,4,0.211678,10,4,7,1,4,1,0,0,1,39,0
2.633333333,4,0.124744,10,2,10,2,4,1,0,0,0.5,39,0
0.9,4,0.213921,9,4,8,3,4,1,0,0,1,26,0
1.333333333,4,0.032214,12,2,1,0,4,1,0,0,1,39,0
2.233333333,0,0.212759,6,2,0,0,4,1,0,0,0.05,39,0
0.6,4,0.309634,7,4,8,3,4,0,0,0,0.55,39,0
1.033333333,2,0.125927,4,2,5,0,4,1,0,0,1,39,0
0.6,4,0.446839,9,4,12,1,4,1,0,0,0.75,39,0
1.733333333,4,0.276515,13,2,8,0,4,1,0,0,1,5,0
1.533333333,4,0.051618,9,2,8,5,4,0,0,0,1,39,0
1.966666667,4,0.159937,9,2,12,0,4,1,0,0,1.2,39,0
1.466666667,4,0.343591,9,0,3,1,4,0,1.4344,0,1,39,1
1.766666667,4,0.346253,9,0,12,3,4,0,0,0,0.875,39,0
1.633333333,2,0.268234,9,2,11,0,4,1,0,0,1,39,1
1.1,4,0.202051,14,2,10,0,4,1,0,0,1.25,39,0
1,4,0.054334,5,4,12,1,4,1,0,0,1,39,0
1.433333333,1,0.410867,16,4,10,1,4,0,0,0,1.25,39,1
1.9,4,0.249977,11,2,10,0,4,1,0,0,1,39,0
1.233333333,4,0.28673,10,0,3,4,4,0,0,0,1,39,0
0.933333333,4,0.212563,10,0,7,4,2,0,0,0,0.625,39,0
1,4,0.117747,9,2,12,5,1,0,0,0.1573,0.875,0,0
1.133333333,2,0.226296,13,2,11,0,4,1,0,0,1,39,1
0.966666667,2,0.115585,10,4,6,1,4,1,0,0,1.25,39,0
1.6,6,0.191277,16,2,10,0,4,1,0,0.1902,1.5,39,1
1.233333333,4,0.202683,10,2,12,0,4,1,0,0,1.2,39,1
1.6,4,0.171095,12,0,4,4,4,0,0,0,1,9,0
1.066666667,1,0.249409,9,4,8,3,2,1,0,0,1,39,0
2.533333333,4,0.124191,14,2,4,0,4,1,0,0,1,39,1
1.466666667,4,0.198282,13,2,4,0,4,1,1.5024,0,1.5,39,1
1.566666667,6,0.149116,14,4,10,1,4,0,0,0,1.25,39,0
0.666666667,4,0.1883,10,4,13,3,4,0,0,0,1,39,0
0.966666667,4,0.103432,9,4,3,1,4,1,0,0,1,39,0
1.066666667,5,0.31766,9,2,3,0,4,1,0.7688,0,1,39,1
0.566666667,0,0.304873,6,4,0,3,4,0,3.4095,0,0.8,39,0
1,4,0.194901,7,4,6,3,4,1,0,0,1,39,0
1.033333333,2,0.189265,9,4,1,1,4,0,0,0,1,39,0
1.4,4,0.124692,9,2,6,0,4,1,0,0,1,39,0
0.8,4,0.432376,13,4,12,2,4,1,0,0,1,39,0
1.266666667,4,0.065324,15,2,10,0,4,1,0,0,1,39,1
1.866666667,6,0.335605,9,2,8,0,4,1,0,0.1887,1.25,2,1
0.933333333,4,0.377869,10,2,12,5,4,0,0.4064,0,0.625,39,0
1.2,4,0.102864,9,4,7,3,4,0,0,0,1,39,0
1.766666667,4,0.095647,5,2,6,0,4,1,0,0,1.25,39,0
1.866666667,5,0.30309,10,2,12,0,4,1,0,0,1.25,39,0
1.633333333,2,0.197371,11,2,3,0,2,1,0,0,1,39,1
1.833333333,4,0.247552,10,2,12,0,4,1,0,0,1.4,39,0
0.733333333,4,0.102632,9,4,3,1,4,1,0,0,1.025,39,0
0.7,4,0.199915,10,4,8,3,4,0,0,0,1,39,0
1.333333333,4,0.118853,13,2,4,0,4,1,0,0,1.5,39,0
1,4,0.077143,13,4,4,3,2,1,0,0,1,11,0
0.966666667,7,0.267989,13,2,10,0,4,1,0,0,1.25,39,1
0.633333333,4,0.301606,10,4,8,3,2,1,0,0,0.875,39,0
1.566666667,4,0.287828,13,2,4,5,4,0,0,0,1,39,1
0.666666667,4,0.111697,10,4,1,3,4,0,0,0.1719,0.7,39,0
1.033333333,4,0.114937,12,2,1,0,4,1,0,0,1,39,1
1.166666667,0,0.129305,9,2,0,0,4,1,0,0,1,39,0
1.3,4,0.365739,10,0,3,1,4,1,0,0,1,39,0
0.933333333,4,0.069621,12,4,12,1,4,0,0,0,1.5,39,0
0.8,4,0.043323,9,4,8,1,4,0,0,0.1762,1,39,0
1.266666667,6,0.120985,9,2,3,0,4,1,0.4386,0,0.875,39,0
1.233333333,4,0.254202,13,2,12,0,4,1,0,0,1.25,39,0
1.533333333,4,0.146195,12,0,13,1,2,0,0,0,0.9,39,0
1.266666667,1,0.125933,14,2,10,0,4,1,0,0,1,20,1
1.433333333,6,0.05692,9,2,3,0,4,1,0,0,1.5,39,0
0.9,4,0.163127,11,2,1,5,4,0,0,0,0.875,39,0
0.666666667,4,0.03431,10,4,12,3,4,1,0,0,0.5,39,0
1.633333333,4,0.081973,10,2,3,0,1,1,0,0,1,39,1
2.033333333,5,0.066614,9,2,3,0,4,1,0,0,1,39,0
0.9,4,0.232782,10,4,12,3,4,0,0,0,1,39,0
0.633333333,4,0.316868,10,4,8,3,4,1,0,0,0.75,26,0
1.5,4,0.196584,11,4,10,1,4,0,0,0.1564,1,39,1
2.333333333,4,0.105376,10,4,13,2,4,1,0,0,1,39,0
1.033333333,4,0.185814,9,4,14,4,2,0,0,0,0.75,39,0
0.733333333,4,0.175374,10,2,8,0,4,1,0,0,0.6,39,0
1.2,4,0.108293,9,6,8,4,4,0,0,0,0.6,39,0
2.133333333,4,0.181232,7,2,3,0,4,1,0,0.2179,1,39,0
1.433333333,0,0.174662,10,0,0,1,4,0,0,0,1,39,0
1.566666667,2,0.186009,10,0,1,4,4,0,0,0,0.95,26,0
1.133333333,4,0.198183,9,4,1,1,4,0,0,0,1,39,0
1.1,4,0.163003,13,4,4,2,1,0,0,0,1,30,0
0.7,4,0.296158,9,4,3,3,4,1,0,0,0.875,39,0
1.733333333,0,0.252903,9,0,0,1,4,1,0,0,1.125,39,1
1.6,4,0.187715,9,2,3,0,4,1,0,0,1.15,39,0
0.766666667,4,0.214542,13,4,6,1,4,1,0,0,1,39,0
2.366666667,6,0.494223,10,5,12,4,2,1,0,0.1816,0.05,39,0
0.966666667,4,0.191535,9,0,3,1,4,1,0,0,1.5,39,0
1.4,4,0.228456,13,5,8,2,2,1,0,0,1.25,39,0
2.266666667,0,0.038317,2,0,0,1,4,0,0,0,0.5,39,0
0.833333333,4,0.252752,9,4,8,4,4,0,0,0,1,39,0
1.466666667,5,0.078374,14,0,4,4,1,0,0,0,1,39,0
0.933333333,4,0.088419,9,4,4,1,1,0,0,0,1,9,0
1.5,6,0.20108,14,2,12,0,4,1,0,0,1,39,1
1.2,4,0.207157,10,0,8,4,4,0,0,0,1,26,0
1.3,1,0.235485,12,4,4,1,4,1,0,0,1.05,39,0
1.533333333,7,0.102628,14,6,11,4,4,1,0,0,1,39,0
0.6,4,0.025828,7,4,6,3,4,1,0,0,0.4,39,0
2.2,2,0.054826,11,6,10,1,4,0,0,0,0.5,39,0
0.9,4,0.124953,9,4,8,1,4,1,0,0.198,1,39,0
0.933333333,7,0.175325,9,2,11,0,4,1,0,0,1,39,0
1.7,4,0.096062,10,2,12,0,4,1,0,0.1977,1,39,1
0.9,4,0.42803,13,4,3,1,4,1,0,0,1.25,39,0
0.933333333,7,0.149624,13,2,10,0,4,1,0,0,1,39,1
